eNBId,bts_name,Cell,NodeId,EUtranCellFDDId,earfcndl,administrativeState,operationalState,userLabel,tac,physicalLayerCellId,physicalLayerCellIdGroup,physicalLayerSubCellId,latitude,longitude,ems,catm1SupportEnabled,cellRange,crsGain,dlChannelBandwidth,freqBand,noOfPucchCqiUsers,noOfPucchSrUsers,primaryPlmnReserved,rachRootSequence,highSpeedUEActive,commonSrPeriodicity,address,RF_port,productName,serialNumber,Cascade,sleepMode,sleepState,RATFreqPrioId,spidList,EutranFreqRelationId,cellReselectionPriority,featureState_LoadBasedDistributionAtRelease_CXC4011944,featureState_SpidRatFreqPrio_CXC4011063,IdleModePrioAtRelease,a1a2SearchThresholdRsrp,hysteresisA1A2SearchRsrp,a5Threshold1Rsrp,a5Threshold2Rsrp,hysteresisA5,a3offset,hysteresisA3,part_name,city,gu,dong,bungi,sisul_code,ru_name,new_sisul,latitude_norm_2,longitude_norm_2,eqp_id,mibos_eqp_nm,du_eqp_id
77594,DummyBTS_615,1,dummy-node-55,dummy-eutran-129,3200,UNLOCKED,DISABLED,Blank,1289,3,2,2,37.2430102,129.8054843,1,FALSE,2,443,19194,9,347,225,FALSE,85,TRUE,22,9.dummy.address,15-B7-RRUS12-0,RRUS12,CB4L824367,0,ACTIVATED,ACTIVATED,9,"[1, 25, 80, 183]",9,7,DEACTIVATED,ACTIVATED,1,-119,0,-128,-115,1,4,6,nan,nan,nan,nan,nan,nan,nan,nan,37.05214053,129.7557325,7034375200,nan,3217191572
69587,DummyBTS_807,6,dummy-node-991,dummy-eutran-946,3200,UNLOCKED,DISABLED,Blank,1597,5,9,1,36.28143816,128.3074904,1,FALSE,25,174,19938,2,171,361,TRUE,91,TRUE,47,33.dummy.address,89-B18-RRUS8-0,RRUS2,CB4L100276,0,ACTIVATED,ACTIVATED,7,"[118, 114, 184, 158]",9,6,ACTIVATED,DEACTIVATED,4,-102,5,-107,-98,1,40,3,nan,nan,nan,nan,nan,nan,nan,nan,35.62433954,129.2001143,2993310229,nan,1729636596
71968,DummyBTS_560,6,dummy-node-631,dummy-eutran-80,2500,UNLOCKED,ENABLED,Blank,1802,1,8,9,36.63773035,127.4678732,1,FALSE,16,182,12183,2,265,476,FALSE,48,FALSE,48,66.dummy.address,94-B5-RRUS11-0,RRUS18,CB4L934961,0,DEACTIVATED,DEACTIVATED,1,"[84, 194, 113, 165]",9,0,DEACTIVATED,ACTIVATED,7,-95,3,-123,-124,1,15,7,nan,nan,nan,nan,nan,nan,nan,nan,39.63168372,129.8271898,9899921971,nan,5593916234
75294,DummyBTS_490,5,dummy-node-714,dummy-eutran-144,2500,LOCKED,ENABLED,Blank,1071,5,5,4,36.55420568,128.1484588,2,FALSE,20,375,10936,1,301,133,TRUE,21,FALSE,29,6.dummy.address,2-B5-RRUS8-0,RRUS5,CB4L736577,0,ACTIVATED,ACTIVATED,8,"[117, 139, 4, 173]",8,5,ACTIVATED,DEACTIVATED,6,-91,0,-116,-93,5,26,2,nan,nan,nan,nan,nan,nan,nan,nan,39.21537919,128.839186,7087259868,nan,4406739960
79911,DummyBTS_288,7,dummy-node-84,dummy-eutran-90,2500,UNLOCKED,ENABLED,Blank,1768,9,3,7,35.75158328,129.3091415,0,TRUE,1,43,16774,4,174,236,FALSE,2,FALSE,26,7.dummy.address,13-B6-RRUS1-0,RRUS3,CB4L604980,1,DEACTIVATED,DEACTIVATED,8,"[190, 100, 191, 122]",0,4,DEACTIVATED,DEACTIVATED,4,-101,0,-97,-129,0,35,1,nan,nan,nan,nan,nan,nan,nan,nan,36.85221355,128.5126162,6303941435,nan,4272937206
76950,DummyBTS_917,7,dummy-node-721,dummy-eutran-930,2500,UNLOCKED,ENABLED,Blank,1142,0,4,8,39.59598533,129.8426018,0,TRUE,1,16,17162,9,431,13,TRUE,79,FALSE,27,67.dummy.address,81-B15-RRUS10-0,RRUS6,CB4L652817,1,ACTIVATED,ACTIVATED,1,"[4, 34, 168, 53]",2,5,ACTIVATED,DEACTIVATED,9,-124,8,-114,-125,8,22,1,nan,nan,nan,nan,nan,nan,nan,nan,38.12184199,129.4474332,9598267512,nan,8507349001
73492,DummyBTS_124,0,dummy-node-333,dummy-eutran-219,2850,LOCKED,DISABLED,Blank,1505,6,7,2,39.22192995,129.1648829,2,TRUE,17,152,11533,8,50,228,FALSE,97,FALSE,18,99.dummy.address,67-B1-RRUS2-0,RRUS6,CB4L206887,2,ACTIVATED,ACTIVATED,3,"[125, 2, 131, 15]",6,8,ACTIVATED,ACTIVATED,6,-110,7,-95,-106,0,6,8,nan,nan,nan,nan,nan,nan,nan,nan,36.55506089,127.2885702,6375279514,nan,9456610079
79319,DummyBTS_158,5,dummy-node-391,dummy-eutran-564,2500,UNLOCKED,ENABLED,Blank,1440,6,8,9,35.89651598,129.0202149,1,FALSE,8,7,19626,2,190,159,TRUE,34,TRUE,3,15.dummy.address,86-B4-RRUS12-0,RRUS16,CB4L412489,1,ACTIVATED,DEACTIVATED,4,"[39, 10, 57, 63]",6,6,DEACTIVATED,ACTIVATED,1,-123,6,-126,-103,2,22,9,nan,nan,nan,nan,nan,nan,nan,nan,36.30623787,128.0159695,5860764064,nan,5717502085
67906,DummyBTS_10,1,dummy-node-985,dummy-eutran-998,2850,LOCKED,ENABLED,Blank,1197,6,1,0,36.21509188,127.6844525,1,TRUE,25,228,10300,1,481,108,FALSE,83,TRUE,24,3.dummy.address,87-B13-RRUS4-0,RRUS11,CB4L631929,0,ACTIVATED,DEACTIVATED,8,"[4, 31, 114, 13]",7,6,DEACTIVATED,DEACTIVATED,6,-105,3,-106,-117,6,9,8,nan,nan,nan,nan,nan,nan,nan,nan,36.26799653,129.6495201,6678082657,nan,1205837887
61172,DummyBTS_335,5,dummy-node-431,dummy-eutran-695,2850,UNLOCKED,ENABLED,Blank,1048,9,4,6,38.98058178,128.7418979,1,FALSE,27,63,16534,3,415,41,FALSE,91,FALSE,42,30.dummy.address,75-B6-RRUS6-0,RRUS9,CB4L273793,2,ACTIVATED,ACTIVATED,1,"[60, 15, 48, 136]",5,8,DEACTIVATED,ACTIVATED,2,-104,9,-110,-94,6,40,4,nan,nan,nan,nan,nan,nan,nan,nan,35.78756909,129.6649763,7543051350,nan,5197805095
67755,DummyBTS_975,5,dummy-node-229,dummy-eutran-155,2850,LOCKED,DISABLED,Blank,1886,6,1,4,37.26294127,128.9177311,0,TRUE,25,115,10336,8,52,317,FALSE,98,FALSE,9,88.dummy.address,73-B18-RRUS6-0,RRUS16,CB4L197126,0,DEACTIVATED,DEACTIVATED,2,"[165, 188, 4, 194]",6,1,ACTIVATED,DEACTIVATED,5,-113,9,-95,-129,2,17,7,nan,nan,nan,nan,nan,nan,nan,nan,38.67873718,128.2518829,7597528976,nan,5182873407
63785,DummyBTS_490,1,dummy-node-675,dummy-eutran-232,3200,LOCKED,ENABLED,Blank,1304,2,2,2,39.82795794,129.1446547,1,TRUE,7,478,19320,7,195,246,FALSE,16,TRUE,34,79.dummy.address,73-B7-RRUS11-0,RRUS8,CB4L102987,2,ACTIVATED,ACTIVATED,5,"[33, 40, 103, 72]",5,5,ACTIVATED,DEACTIVATED,6,-108,2,-127,-117,7,46,2,nan,nan,nan,nan,nan,nan,nan,nan,36.7219642,127.8813243,4106136988,nan,6655970762
75265,DummyBTS_846,5,dummy-node-298,dummy-eutran-863,2850,LOCKED,DISABLED,Blank,1535,9,8,0,38.88370079,129.8401742,0,TRUE,21,331,17267,1,344,346,TRUE,81,TRUE,1,58.dummy.address,7-B9-RRUS16-0,RRUS3,CB4L453454,1,DEACTIVATED,ACTIVATED,2,"[13, 65, 177, 75]",7,4,DEACTIVATED,DEACTIVATED,2,-98,8,-110,-120,4,29,5,nan,nan,nan,nan,nan,nan,nan,nan,35.57372377,127.6806978,3719682291,nan,2873272746
69427,DummyBTS_805,7,dummy-node-964,dummy-eutran-866,2500,UNLOCKED,ENABLED,Blank,1541,8,5,8,36.5057131,128.2540665,0,FALSE,21,42,12162,1,253,179,FALSE,64,TRUE,29,61.dummy.address,70-B17-RRUS4-0,RRUS3,CB4L243868,1,DEACTIVATED,DEACTIVATED,4,"[7, 159, 43, 39]",2,5,DEACTIVATED,DEACTIVATED,8,-121,4,-127,-118,9,14,0,nan,nan,nan,nan,nan,nan,nan,nan,36.91817053,127.4514532,4137671105,nan,9384913611
76930,DummyBTS_372,0,dummy-node-97,dummy-eutran-793,2500,UNLOCKED,DISABLED,Blank,1532,5,6,1,35.33738806,127.2566173,0,TRUE,15,29,12885,1,58,392,FALSE,41,TRUE,10,35.dummy.address,71-B5-RRUS19-0,RRUS12,CB4L654125,0,DEACTIVATED,ACTIVATED,1,"[120, 146, 20, 177]",1,4,DEACTIVATED,DEACTIVATED,9,-117,5,-116,-124,6,6,4,nan,nan,nan,nan,nan,nan,nan,nan,37.43580344,128.7291024,9540222904,nan,8470797141
78551,DummyBTS_676,3,dummy-node-433,dummy-eutran-810,2850,UNLOCKED,ENABLED,Blank,1436,4,2,4,37.71786821,127.2283762,1,FALSE,29,483,18790,6,69,365,TRUE,88,FALSE,42,51.dummy.address,23-B16-RRUS17-0,RRUS14,CB4L841316,0,ACTIVATED,ACTIVATED,3,"[60, 175, 140, 136]",6,8,DEACTIVATED,DEACTIVATED,3,-114,7,-106,-103,0,8,8,nan,nan,nan,nan,nan,nan,nan,nan,35.48574957,127.1602287,9348295332,nan,3650131024
71979,DummyBTS_714,7,dummy-node-123,dummy-eutran-901,3200,LOCKED,ENABLED,Blank,1609,1,0,1,39.18004355,129.650011,1,FALSE,0,141,18280,3,215,480,FALSE,18,FALSE,43,22.dummy.address,67-B6-RRUS10-0,RRUS13,CB4L260489,1,ACTIVATED,ACTIVATED,1,"[80, 69, 129, 114]",4,2,DEACTIVATED,DEACTIVATED,7,-123,5,-119,-122,9,42,7,nan,nan,nan,nan,nan,nan,nan,nan,35.62208613,128.0351892,8548404611,nan,3006843103
67584,DummyBTS_657,1,dummy-node-188,dummy-eutran-511,2850,UNLOCKED,DISABLED,Blank,1305,9,5,2,35.92180269,128.1883966,1,FALSE,19,261,12676,5,372,354,TRUE,19,TRUE,17,20.dummy.address,14-B9-RRUS15-0,RRUS8,CB4L232579,0,ACTIVATED,DEACTIVATED,5,"[2, 81, 53, 52]",2,2,DEACTIVATED,DEACTIVATED,2,-128,5,-120,-116,1,31,7,nan,nan,nan,nan,nan,nan,nan,nan,39.24193889,128.7159953,7967337417,nan,4388788206
76374,DummyBTS_46,6,dummy-node-152,dummy-eutran-764,2500,LOCKED,ENABLED,Blank,1895,1,1,5,37.07446711,129.6956281,2,TRUE,14,65,14303,3,498,297,TRUE,29,TRUE,33,51.dummy.address,2-B9-RRUS1-0,RRUS2,CB4L806945,1,ACTIVATED,ACTIVATED,9,"[142, 131, 52, 181]",5,4,ACTIVATED,DEACTIVATED,6,-102,7,-97,-120,2,10,1,nan,nan,nan,nan,nan,nan,nan,nan,36.59499912,129.1915174,2048069692,nan,5860574333
62909,DummyBTS_395,2,dummy-node-625,dummy-eutran-484,3200,LOCKED,ENABLED,Blank,1392,8,6,1,37.19862989,128.2800397,2,FALSE,1,467,10258,2,429,115,FALSE,15,TRUE,48,52.dummy.address,71-B5-RRUS6-0,RRUS11,CB4L118878,2,DEACTIVATED,ACTIVATED,4,"[42, 86, 32, 72]",2,0,DEACTIVATED,ACTIVATED,5,-97,0,-108,-106,6,11,3,nan,nan,nan,nan,nan,nan,nan,nan,35.40098885,127.6042284,5159575416,nan,2980164772
62041,DummyBTS_574,3,dummy-node-532,dummy-eutran-144,2500,LOCKED,DISABLED,Blank,1990,0,9,6,38.25525416,129.5817368,2,FALSE,13,281,19029,4,485,7,TRUE,8,TRUE,10,12.dummy.address,90-B11-RRUS12-0,RRUS15,CB4L917640,0,ACTIVATED,DEACTIVATED,2,"[48, 55, 82, 55]",7,6,DEACTIVATED,DEACTIVATED,8,-103,1,-126,-112,1,22,6,nan,nan,nan,nan,nan,nan,nan,nan,39.49312036,129.6317036,5552436424,nan,1771653536
66817,DummyBTS_514,6,dummy-node-944,dummy-eutran-838,3200,UNLOCKED,DISABLED,Blank,1021,9,1,5,36.14999748,127.5631276,0,TRUE,0,444,16402,9,152,414,FALSE,46,TRUE,47,6.dummy.address,42-B7-RRUS19-0,RRUS9,CB4L331952,0,DEACTIVATED,ACTIVATED,1,"[169, 188, 99, 160]",0,9,DEACTIVATED,ACTIVATED,5,-106,1,-103,-116,6,24,3,nan,nan,nan,nan,nan,nan,nan,nan,39.8899227,129.9227387,3354443437,nan,3563974037
63907,DummyBTS_256,9,dummy-node-752,dummy-eutran-162,2500,UNLOCKED,ENABLED,Blank,1810,2,0,4,39.28389983,128.8360116,1,FALSE,13,74,19236,5,383,247,TRUE,5,TRUE,41,64.dummy.address,99-B4-RRUS13-0,RRUS16,CB4L876466,1,ACTIVATED,DEACTIVATED,4,"[134, 195, 87, 25]",1,5,ACTIVATED,DEACTIVATED,5,-128,5,-92,-128,3,2,8,nan,nan,nan,nan,nan,nan,nan,nan,35.93706283,128.7614617,6514466438,nan,5676626664
79373,DummyBTS_637,1,dummy-node-17,dummy-eutran-273,2850,LOCKED,ENABLED,Blank,1303,1,5,7,39.55189521,129.1858578,0,TRUE,3,87,19445,6,495,471,FALSE,27,FALSE,42,97.dummy.address,9-B11-RRUS4-0,RRUS11,CB4L158490,0,ACTIVATED,DEACTIVATED,6,"[167, 68, 140, 45]",2,6,ACTIVATED,DEACTIVATED,8,-108,2,-128,-95,2,25,2,nan,nan,nan,nan,nan,nan,nan,nan,37.36610667,128.229323,5265502553,nan,5199288779
65877,DummyBTS_568,9,dummy-node-509,dummy-eutran-719,3200,UNLOCKED,ENABLED,Blank,1362,5,9,3,38.41635791,127.6265108,2,TRUE,9,321,17021,2,488,6,FALSE,48,FALSE,31,82.dummy.address,44-B6-RRUS1-0,RRUS2,CB4L280248,0,DEACTIVATED,ACTIVATED,7,"[99, 63, 13, 147]",2,8,ACTIVATED,DEACTIVATED,3,-101,3,-101,-109,5,40,0,nan,nan,nan,nan,nan,nan,nan,nan,38.39802359,129.3524538,7543358401,nan,1563580867
62819,DummyBTS_64,0,dummy-node-182,dummy-eutran-64,3200,LOCKED,ENABLED,Blank,1026,7,8,0,36.8024348,129.732954,2,FALSE,28,351,13261,8,481,281,TRUE,44,FALSE,1,24.dummy.address,38-B11-RRUS18-0,RRUS8,CB4L761781,1,DEACTIVATED,DEACTIVATED,8,"[194, 135, 90, 74]",7,9,ACTIVATED,DEACTIVATED,9,-108,5,-101,-103,7,24,7,nan,nan,nan,nan,nan,nan,nan,nan,39.4077457,127.545829,5583843646,nan,3220263203
67840,DummyBTS_915,7,dummy-node-164,dummy-eutran-100,3200,LOCKED,ENABLED,Blank,1452,8,1,2,37.02178654,128.6232759,1,FALSE,4,371,11011,2,356,160,TRUE,67,FALSE,21,10.dummy.address,4-B15-RRUS13-0,RRUS3,CB4L587416,1,ACTIVATED,DEACTIVATED,7,"[120, 139, 173, 154]",5,3,ACTIVATED,DEACTIVATED,7,-110,9,-114,-127,3,14,0,nan,nan,nan,nan,nan,nan,nan,nan,35.28798584,127.3904319,5344932550,nan,8213685541
65848,DummyBTS_889,3,dummy-node-991,dummy-eutran-933,2850,LOCKED,ENABLED,Blank,1283,8,9,2,38.24568061,128.1360791,0,TRUE,2,13,17891,5,401,363,FALSE,40,TRUE,13,48.dummy.address,75-B8-RRUS16-0,RRUS15,CB4L535395,1,DEACTIVATED,DEACTIVATED,9,"[62, 46, 44, 20]",7,3,DEACTIVATED,ACTIVATED,7,-110,5,-115,-115,9,47,2,nan,nan,nan,nan,nan,nan,nan,nan,36.66442952,127.9281162,3688045673,nan,2829897879
